central_point_id	element	refnumber	x	y	z	intensity_real	intensity_imag
11513	Fe	6	5.81000000E+01	3.52750000E+01	7.67750000E+01	8.86734604E-01	-2.99020834E-14
11516	Fe	8	6.01750000E+01	3.32000000E+01	8.09250000E+01	-8.22240629E+00	-2.85936860E-14
11519	Fe	5	5.81000000E+01	3.73500000E+01	4.15000000E+00	5.73288294E+00	1.25971932E-14
11521	Fe	8	6.01750000E+01	3.73500000E+01	6.22500000E+00	1.67351871E+00	8.10824668E-15
11522	Fe	5	5.81000000E+01	3.73500000E+01	8.30000000E+00	-5.59586780E+00	1.25971932E-14
11528	Fe	6	5.81000000E+01	3.94250000E+01	2.28250000E+01	2.37601173E+00	-6.23258094E-15
11532	Fe	7	6.01750000E+01	3.94250000E+01	2.49000000E+01	4.52719139E+00	2.30751492E-14
11533	Fe	7	6.01750000E+01	3.94250000E+01	2.90500000E+01	1.42927204E+01	2.30751492E-14
11536	Fe	6	5.81000000E+01	3.94250000E+01	3.52750000E+01	-1.18512259E-01	-6.23258094E-15
11537	Fe	8	6.01750000E+01	3.73500000E+01	3.52750000E+01	5.47102309E+00	8.10824668E-15
11542	Fe	5	5.81000000E+01	3.73500000E+01	4.56500000E+01	7.95572869E+00	1.25971932E-14
11546	Fe	7	6.01750000E+01	3.94250000E+01	4.98000000E+01	5.01585235E+00	2.30751492E-14
11549	Fe	6	5.81000000E+01	3.94250000E+01	5.60250000E+01	9.82379187E+00	-6.23258094E-15
11550	Fe	7	6.01750000E+01	3.94250000E+01	5.39500000E+01	1.87266617E+00	2.30751492E-14
11551	Fe	6	5.81000000E+01	3.94250000E+01	6.01750000E+01	4.67588425E+00	-6.24621668E-15
11552	Fe	7	6.01750000E+01	3.94250000E+01	5.81000000E+01	-5.95661634E+00	2.30995712E-14
11553	Fe	5	5.81000000E+01	3.73500000E+01	6.22500000E+01	7.27450790E+00	1.26007173E-14
11556	Fe	7	6.01750000E+01	3.94250000E+01	6.64000000E+01	3.33850171E-01	2.30995712E-14
11563	Fe	7	6.01750000E+01	4.35750000E+01	0.00000000E+00	8.03001956E+00	7.58605637E-15
11565	Fe	6	5.81000000E+01	4.35750000E+01	6.22500000E+00	-4.78274340E-01	-1.75095052E-14
11567	Fe	8	6.01750000E+01	4.15000000E+01	6.22500000E+00	-2.66847632E+00	1.83043383E-14
11569	Fe	6	5.81000000E+01	4.35750000E+01	1.03750000E+01	3.47705734E-01	-1.75095052E-14
11574	Fe	5	5.81000000E+01	4.15000000E+01	2.07500000E+01	3.62767784E+00	-3.15874484E-14
11581	Fe	5	5.81000000E+01	4.15000000E+01	3.32000000E+01	8.45554957E+00	-3.15874484E-14
11582	Fe	6	5.81000000E+01	4.35750000E+01	3.52750000E+01	7.35577309E+00	-1.75095052E-14
11583	Fe	7	6.01750000E+01	4.35750000E+01	3.32000000E+01	-1.08721054E+01	7.58605637E-15
11585	Fe	5	5.81000000E+01	4.15000000E+01	3.73500000E+01	-7.74733077E-01	-3.15874484E-14
11588	Fe	7	6.01750000E+01	4.35750000E+01	4.15000000E+01	1.11140478E+01	7.58605637E-15
11595	Fe	5	5.81000000E+01	4.15000000E+01	5.39500000E+01	3.59169486E+00	-3.15874484E-14
11596	Fe	7	6.01750000E+01	4.35750000E+01	5.39500000E+01	1.46567153E+01	7.58605637E-15
11599	Fe	6	5.81000000E+01	4.35750000E+01	6.01750000E+01	5.33036719E+00	-1.75071385E-14
11600	Fe	7	6.01750000E+01	4.35750000E+01	5.81000000E+01	-7.57621400E+00	7.58198603E-15
11603	Fe	6	5.81000000E+01	4.35750000E+01	6.84750000E+01	1.49076030E+00	-1.75071385E-14
11609	Fe	5	5.81000000E+01	4.15000000E+01	7.88500000E+01	7.46318809E+00	-3.16044228E-14
11613	Fe	6	5.81000000E+01	4.77250000E+01	6.22500000E+00	1.31668213E+00	-2.81691702E-15
11614	Fe	7	6.01750000E+01	4.77250000E+01	4.15000000E+00	7.99203735E+00	-2.52648557E-14
11618	Fe	8	6.01750000E+01	4.56500000E+01	1.03750000E+01	1.35623293E+00	1.82658786E-14
11619	Fe	7	6.01750000E+01	4.77250000E+01	1.24500000E+01	-9.77764050E+00	-2.52648557E-14
11624	Fe	5	5.81000000E+01	4.56500000E+01	2.90500000E+01	1.21548991E+01	2.15869089E-14
11625	Fe	6	5.81000000E+01	4.77250000E+01	3.11250000E+01	8.91035728E+00	-2.81691702E-15
11630	Fe	6	5.81000000E+01	4.77250000E+01	3.94250000E+01	4.19717157E+00	-2.81691702E-15
11631	Fe	5	5.81000000E+01	4.56500000E+01	4.15000000E+01	-1.61808502E+00	2.15869089E-14
11633	Fe	7	6.01750000E+01	4.77250000E+01	4.15000000E+01	7.14115169E+00	-2.52648557E-14
11635	Fe	5	5.81000000E+01	4.56500000E+01	4.98000000E+01	6.93420962E+00	2.15869089E-14
11638	Fe	6	5.81000000E+01	4.77250000E+01	5.60250000E+01	-4.55061822E-01	-2.81691702E-15
11645	Fe	7	6.01750000E+01	4.77250000E+01	6.22500000E+01	1.22383410E+01	-2.52852812E-14
11649	Fe	6	5.81000000E+01	4.77250000E+01	7.26250000E+01	1.57444293E+01	-2.80533764E-15
