central_point_id	element	refnumber	x	y	z	intensity_real	intensity_imag
0	Li	8	2.07500000E+00	1.27057105E-16	2.07500000E+00	-4.16591870E+00	-8.76434736E-15
1	Fe	5	2.54114211E-16	2.54114211E-16	4.15000000E+00	6.49828526E+00	4.47198730E-15
2	Li	6	5.08228422E-16	2.07500000E+00	6.22500000E+00	-7.47416625E+00	5.32484502E-15
3	Li	8	2.07500000E+00	3.81171316E-16	6.22500000E+00	-1.13810277E+01	-8.76525047E-15
4	Li	5	5.08228422E-16	5.08228422E-16	8.30000000E+00	1.84741966E+00	4.47149830E-15
7	Li	6	1.01645684E-15	2.07500000E+00	1.45250000E+01	-4.53516977E+00	5.32677347E-15
8	Li	7	2.07500000E+00	2.07500000E+00	1.24500000E+01	-3.35924915E+00	5.40833149E-15
9	Li	8	2.07500000E+00	8.89399738E-16	1.45250000E+01	-1.79133984E+01	-8.76615358E-15
11	Li	7	2.07500000E+00	2.07500000E+00	2.07500000E+01	-2.48907302E+00	5.41011226E-15
12	Li	8	2.07500000E+00	1.39762816E-15	2.28250000E+01	-9.74964178E+00	-8.76705668E-15
13	Li	6	1.77879948E-15	2.07500000E+00	2.69750000E+01	-2.64951346E+00	5.32966615E-15
15	Li	5	1.77879948E-15	1.77879948E-15	2.90500000E+01	-6.21183547E+00	4.46905330E-15
17	Li	8	2.07500000E+00	1.90585658E-15	3.11250000E+01	-8.46223924E-01	-8.76795979E-15
19	Li	8	2.07500000E+00	2.15997079E-15	3.52750000E+01	-9.39401626E+00	-8.65820338E-15
20	Li	6	2.54114211E-15	2.07500000E+00	3.94250000E+01	-2.29488956E+00	5.33255883E-15
21	Li	7	2.07500000E+00	2.07500000E+00	3.73500000E+01	-1.11510161E+01	5.41367381E-15
22	Fe	5	2.54114211E-15	2.54114211E-15	4.15000000E+01	1.03625415E+01	4.46758630E-15
23	Li	7	2.07500000E+00	2.07500000E+00	4.15000000E+01	-1.52261698E+01	5.41060464E-15
25	Li	5	2.79525632E-15	2.79525632E-15	4.56500000E+01	-1.31271298E+01	4.46709730E-15
26	Li	7	2.07500000E+00	2.07500000E+00	4.56500000E+01	-4.98421102E+00	5.41060464E-15
27	Li	8	2.07500000E+00	2.92231342E-15	4.77250000E+01	-1.23654999E+01	-8.66000959E-15
28	Li	7	2.07500000E+00	2.07500000E+00	4.98000000E+01	4.72271957E+00	5.41238541E-15
30	Li	5	3.30348474E-15	3.30348474E-15	5.39500000E+01	-8.85099685E+00	4.47756081E-15
31	Li	5	3.55759895E-15	3.55759895E-15	5.81000000E+01	-1.85715153E+01	4.47707181E-15
32	Li	6	3.81171316E-15	2.07500000E+00	6.01750000E+01	-1.00103270E+01	5.31503519E-15
34	Li	8	2.07500000E+00	3.68465606E-15	6.01750000E+01	-7.03707952E+00	-8.77113652E-15
35	Li	8	2.07500000E+00	3.93877027E-15	6.43250000E+01	-2.38446182E+00	-8.77203963E-15
36	Li	6	4.31994158E-15	2.07500000E+00	6.84750000E+01	-5.31547161E+00	5.31696364E-15
37	Li	7	2.07500000E+00	2.07500000E+00	6.64000000E+01	1.16125094E+01	5.41990651E-15
40	Li	7	2.07500000E+00	2.07500000E+00	7.47000000E+01	-1.81385219E+00	5.42168729E-15
41	Li	5	4.82817001E-15	4.82817001E-15	7.88500000E+01	-1.28093222E+01	4.47462681E-15
43	Li	8	2.07500000E+00	4.95522711E-15	8.09250000E+01	-7.82479633E+00	-8.77384584E-15
44	Li	7	2.07500000E+00	6.22500000E+00	0.00000000E+00	-8.00804956E+00	1.13272265E-14
45	Li	8	2.07500000E+00	4.15000000E+00	6.22500000E+00	-3.92255873E+00	-1.64524722E-14
46	Fe	5	7.62342632E-16	4.15000000E+00	8.30000000E+00	1.61796327E+01	1.73678169E-14
48	Li	7	2.07500000E+00	6.22500000E+00	8.30000000E+00	-1.38185804E+01	1.13292616E-14
49	Li	8	2.07500000E+00	4.15000000E+00	1.03750000E+01	4.68643358E+00	-1.64524722E-14
50	Fe	5	1.01645684E-15	4.15000000E+00	1.24500000E+01	1.34512927E+01	1.73671902E-14
51	Li	8	2.07500000E+00	4.15000000E+00	1.45250000E+01	-6.99928872E+00	-1.64536297E-14
52	Li	7	2.07500000E+00	6.22500000E+00	1.66000000E+01	-1.21567637E+00	1.13312968E-14
53	Li	5	1.52468526E-15	4.15000000E+00	2.07500000E+01	-1.71780203E+00	1.73659367E-14
54	Li	6	1.77879948E-15	6.22500000E+00	2.28250000E+01	-4.30361051E+00	-1.20694989E-14
56	Li	6	2.03291369E-15	6.22500000E+00	2.69750000E+01	-1.66544516E+01	-1.20683970E-14
57	Li	8	2.07500000E+00	4.15000000E+00	2.69750000E+01	-2.63516105E+00	-1.63831346E-14
58	Fe	5	2.03291369E-15	4.15000000E+00	2.90500000E+01	1.00530152E+01	1.73646832E-14
60	Li	5	2.28702790E-15	4.15000000E+00	3.32000000E+01	-2.37462329E+00	1.73640564E-14
62	Li	7	2.07500000E+00	6.22500000E+00	3.32000000E+01	-9.18137284E+00	1.13033882E-14
63	Fe	5	2.54114211E-15	4.15000000E+00	3.73500000E+01	3.90027500E+00	1.73634297E-14
64	Li	6	2.79525632E-15	6.22500000E+00	3.94250000E+01	-1.12643841E+01	-1.20650911E-14
65	Li	7	2.07500000E+00	6.22500000E+00	3.73500000E+01	5.13930160E-01	1.13033882E-14
66	Li	5	2.79525632E-15	4.15000000E+00	4.15000000E+01	-6.07615919E+00	1.73628029E-14
67	Li	8	2.07500000E+00	4.15000000E+00	4.35750000E+01	-7.86448119E+00	-1.63854496E-14
68	Li	5	3.04937053E-15	4.15000000E+00	4.56500000E+01	-1.41497807E+01	1.73767983E-14
69	Li	6	3.30348474E-15	6.22500000E+00	4.77250000E+01	9.00882539E+00	-1.20883124E-14
71	Li	8	2.07500000E+00	4.15000000E+00	4.77250000E+01	-5.57357435E+00	-1.64588385E-14
72	Li	6	3.55759895E-15	6.22500000E+00	5.18750000E+01	-1.20958384E+01	-1.20872104E-14
73	Li	6	3.81171316E-15	6.22500000E+00	5.60250000E+01	-5.33311985E+00	-1.20861084E-14
74	Li	8	2.07500000E+00	4.15000000E+00	5.60250000E+01	1.93197790E+00	-1.64599960E-14
75	Li	5	3.81171316E-15	4.15000000E+00	5.81000000E+01	7.65220789E+00	1.73749181E-14
77	Li	6	4.31994158E-15	6.22500000E+00	6.43250000E+01	-4.66279101E+00	-1.20839045E-14
81	Li	5	4.57405579E-15	4.15000000E+00	7.05500000E+01	1.46607061E+00	1.73730379E-14
82	Li	8	2.07500000E+00	4.15000000E+00	7.26250000E+01	-5.12089765E+00	-1.64623110E-14
84	Li	5	5.08228422E-15	4.15000000E+00	7.88500000E+01	-3.56204450E+00	1.73717844E-14
85	Li	8	2.07500000E+00	4.15000000E+00	8.09250000E+01	-1.24849246E+01	-1.64634685E-14
86	Li	5	5.08228422E-16	8.30000000E+00	0.00000000E+00	-1.01686193E+01	-4.42485393E-16
87	Li	5	7.62342632E-16	8.30000000E+00	4.15000000E+00	2.84298016E+00	-4.43112140E-16
88	Li	5	1.01645684E-15	8.30000000E+00	8.30000000E+00	-2.09570508E+01	-4.43738887E-16
89	Li	6	1.27057105E-15	1.03750000E+01	1.03750000E+01	-1.31245422E+01	-1.42787149E-14
91	Li	8	2.07500000E+00	8.30000000E+00	1.03750000E+01	9.08971005E+00	-9.25454750E-16
92	Li	6	1.52468526E-15	1.03750000E+01	1.45250000E+01	-1.21630413E+00	-1.42781639E-14
95	Li	7	2.07500000E+00	1.03750000E+01	2.90500000E+01	3.68121957E-01	5.58310541E-15
96	Li	6	2.79525632E-15	1.03750000E+01	3.52750000E+01	-9.32244781E+00	-1.42754089E-14
97	Li	7	2.07500000E+00	1.03750000E+01	3.32000000E+01	-8.23115623E+00	5.45466085E-15
99	Li	6	3.04937053E-15	1.03750000E+01	3.94250000E+01	-9.09315811E+00	-1.42876946E-14
100	Li	8	2.07500000E+00	8.30000000E+00	3.94250000E+01	-8.11626760E+00	-9.59137324E-16
101	Li	5	3.30348474E-15	8.30000000E+00	4.56500000E+01	-1.84671501E+01	-4.34710883E-16
102	Li	7	2.07500000E+00	1.03750000E+01	4.56500000E+01	-6.42271230E+00	5.45567844E-15
103	Li	8	2.07500000E+00	8.30000000E+00	4.77250000E+01	-1.17795101E+01	-9.31821013E-16
104	Li	5	3.55759895E-15	8.30000000E+00	4.98000000E+01	-6.87591335E+00	-4.35337630E-16
105	Li	6	3.81171316E-15	1.03750000E+01	5.18750000E+01	-1.91880749E-01	-1.42860416E-14
106	Fe	5	3.81171316E-15	8.30000000E+00	5.39500000E+01	-1.16330230E+01	-4.35964377E-16
