central_point_id	element	refnumber	x	y	z	intensity_real	intensity_imag
5	Fe	6	7.62342632E-16	2.07500000E+00	1.03750000E+01	1.16300278E+01	-6.65692818E-15
6	Fe	8	2.07500000E+00	6.35285527E-16	1.03750000E+01	1.14191835E+01	-1.31706060E-14
10	Fe	7	2.07500000E+00	2.07500000E+00	1.66000000E+01	1.14353164E+01	1.76115400E-14
14	Fe	8	2.07500000E+00	1.65174237E-15	2.69750000E+01	1.15050035E+01	-1.30711435E-14
16	Fe	7	2.07500000E+00	2.07500000E+00	2.90500000E+01	1.13493174E+01	1.76151015E-14
18	Fe	7	2.07500000E+00	2.07500000E+00	3.32000000E+01	1.14067455E+01	1.76178045E-14
24	Fe	8	2.07500000E+00	2.66819921E-15	4.35750000E+01	1.12475436E+01	-1.31746700E-14
29	Fe	8	2.07500000E+00	3.17642764E-15	5.18750000E+01	1.14191119E+01	-1.31753974E-14
33	Fe	7	2.07500000E+00	2.07500000E+00	5.81000000E+01	1.15213511E+01	1.76213342E-14
38	Fe	6	4.57405579E-15	2.07500000E+00	7.26250000E+01	1.16300278E+01	-6.66496088E-15
39	Fe	7	2.07500000E+00	2.07500000E+00	7.05500000E+01	1.15497430E+01	1.76248958E-14
42	Fe	7	2.07500000E+00	2.07500000E+00	7.88500000E+01	1.14061727E+01	1.76266765E-14
47	Fe	6	1.01645684E-15	6.22500000E+00	1.03750000E+01	1.16299920E+01	-6.62704833E-15
55	Fe	7	2.07500000E+00	6.22500000E+00	2.07500000E+01	1.14922432E+01	1.62656074E-15
59	Fe	6	2.28702790E-15	6.22500000E+00	3.11250000E+01	1.16300278E+01	-6.62153846E-15
61	Fe	6	2.54114211E-15	6.22500000E+00	3.52750000E+01	1.16299562E+01	-6.62043649E-15
70	Fe	7	2.07500000E+00	6.22500000E+00	4.56500000E+01	1.16357419E+01	1.63157339E-15
76	Fe	8	2.07500000E+00	4.15000000E+00	6.01750000E+01	1.13044705E+01	-1.90052204E-14
78	Fe	8	2.07500000E+00	4.15000000E+00	6.43250000E+01	1.13621134E+01	-1.90063779E-14
79	Fe	6	4.57405579E-15	6.22500000E+00	6.84750000E+01	1.15152073E+01	-6.63745802E-15
80	Fe	8	2.07500000E+00	4.15000000E+00	6.84750000E+01	1.15049319E+01	-1.90063779E-14
83	Fe	7	2.07500000E+00	6.22500000E+00	7.47000000E+01	1.14350657E+01	1.63971407E-15
90	Fe	7	2.07500000E+00	1.03750000E+01	8.30000000E+00	1.14638514E+01	-1.47967125E-15
93	Fe	8	2.07500000E+00	8.30000000E+00	1.45250000E+01	1.13902904E+01	3.40182999E-15
94	Fe	8	2.07500000E+00	8.30000000E+00	2.69750000E+01	1.15336817E+01	3.50168683E-15
98	Fe	8	2.07500000E+00	8.30000000E+00	3.52750000E+01	1.13046137E+01	3.39893624E-15
112	Fe	6	4.57405579E-15	1.03750000E+01	6.43250000E+01	1.14298170E+01	-3.02510953E-15
113	Fe	7	2.07500000E+00	1.03750000E+01	6.22500000E+01	1.14637440E+01	-1.47212433E-15
116	Fe	7	2.07500000E+00	1.03750000E+01	6.64000000E+01	1.16072427E+01	-1.47212433E-15
119	Fe	7	2.07500000E+00	1.03750000E+01	7.05500000E+01	1.16071353E+01	-1.47110675E-15
122	Fe	7	2.07500000E+00	1.03750000E+01	7.47000000E+01	1.14638514E+01	-1.47110675E-15
124	Fe	7	2.07500000E+00	1.03750000E+01	7.88500000E+01	1.16067773E+01	-1.47008916E-15
140	Fe	6	3.04937053E-15	1.45250000E+01	3.52750000E+01	1.17447766E+01	8.95256403E-15
142	Fe	5	3.04937053E-15	1.24500000E+01	3.73500000E+01	1.14591290E+01	-9.98052868E-16
146	Fe	5	3.30348474E-15	1.24500000E+01	4.15000000E+01	1.13727362E+01	-9.99230602E-16
149	Fe	5	3.55759895E-15	1.24500000E+01	4.56500000E+01	1.14016651E+01	-1.00040834E-15
150	Fe	6	3.81171316E-15	1.45250000E+01	4.77250000E+01	1.16592431E+01	8.95304587E-15
151	Fe	5	3.81171316E-15	1.24500000E+01	4.98000000E+01	1.13154513E+01	-1.00158607E-15
155	Fe	8	2.07500000E+00	1.24500000E+01	6.01750000E+01	1.14478260E+01	-1.13212890E-14
158	Fe	5	4.82817001E-15	1.24500000E+01	6.64000000E+01	1.15162349E+01	-1.00629700E-15
160	Fe	5	5.08228422E-15	1.24500000E+01	7.05500000E+01	1.14302001E+01	-1.00747474E-15
162	Fe	8	2.07500000E+00	1.24500000E+01	7.26250000E+01	1.14193625E+01	-1.13256392E-14
163	Fe	5	5.33639843E-15	1.24500000E+01	7.47000000E+01	1.16019832E+01	-1.00865247E-15
167	Fe	6	5.84462685E-15	1.45250000E+01	8.09250000E+01	1.15732799E+01	8.95414785E-15
171	Fe	5	1.27057105E-15	1.66000000E+01	4.15000000E+00	1.14584487E+01	5.10227094E-15
172	Fe	6	1.52468526E-15	1.86750000E+01	6.22500000E+00	1.16591357E+01	-2.99346468E-15
178	Fe	6	2.28702790E-15	1.86750000E+01	1.86750000E+01	1.18025628E+01	-2.99594412E-15
