central_point_id	element	refnumber	x	y	z	intensity_real	intensity_imag
10149	Li	8	5.18750000E+01	5.81000000E+01	6.01750000E+01	-1.14376042E+01	8.83928134E-15
10150	Li	7	5.18750000E+01	6.01750000E+01	6.22500000E+01	-1.14787562E+01	2.87038422E-14
10151	Li	8	5.18750000E+01	5.81000000E+01	6.43250000E+01	-1.13799612E+01	8.83928134E-15
10152	Li	5	4.98000000E+01	5.81000000E+01	6.64000000E+01	-1.16269416E+01	-2.06111064E-14
10153	Li	6	4.98000000E+01	6.01750000E+01	6.84750000E+01	-1.13698290E+01	-3.11618440E-16
10155	Li	5	4.98000000E+01	5.81000000E+01	7.47000000E+01	-1.15984781E+01	-2.06111064E-14
10156	Li	5	4.98000000E+01	6.22500000E+01	0.00000000E+00	-1.17132270E+01	7.07249388E-14
10158	Li	7	5.18750000E+01	6.43250000E+01	4.15000000E+00	-1.15360769E+01	1.48603208E-14
10159	Li	5	4.98000000E+01	6.22500000E+01	8.30000000E+00	-1.18563676E+01	7.07249388E-14
10160	Li	7	5.18750000E+01	6.43250000E+01	8.30000000E+00	-1.14500064E+01	1.48603208E-14
10162	Li	5	4.98000000E+01	6.22500000E+01	1.66000000E+01	-1.17415830E+01	7.07249388E-14
10163	Li	6	4.98000000E+01	6.43250000E+01	1.86750000E+01	-1.12548295E+01	-5.27865928E-14
10164	Li	6	4.98000000E+01	6.43250000E+01	2.28250000E+01	-1.11118320E+01	-5.27865928E-14
10165	Li	7	5.18750000E+01	6.43250000E+01	2.07500000E+01	-1.16506110E+01	1.48603208E-14
10167	Li	5	4.98000000E+01	6.22500000E+01	2.49000000E+01	-1.16846203E+01	7.07249388E-14
10168	Li	6	4.98000000E+01	6.43250000E+01	2.69750000E+01	-1.12837942E+01	-5.27865928E-14
10171	Li	6	4.98000000E+01	6.43250000E+01	3.11250000E+01	-1.14268633E+01	-5.27865928E-14
10173	Li	5	4.98000000E+01	6.22500000E+01	3.32000000E+01	-1.15982991E+01	7.07249388E-14
10175	Li	7	5.18750000E+01	6.43250000E+01	3.73500000E+01	-1.13637210E+01	1.48603208E-14
10176	Li	8	5.18750000E+01	6.22500000E+01	3.94250000E+01	-1.13516768E+01	-7.70012473E-14
10177	Li	5	4.98000000E+01	6.22500000E+01	4.15000000E+01	-1.17132628E+01	7.07249388E-14
10178	Li	5	4.98000000E+01	6.22500000E+01	4.56500000E+01	-1.17129763E+01	7.07249388E-14
10179	Li	6	4.98000000E+01	6.43250000E+01	4.77250000E+01	-1.12260438E+01	-5.27865928E-14
10180	Li	7	5.18750000E+01	6.43250000E+01	4.56500000E+01	-1.14211849E+01	1.48603208E-14
10183	Li	7	5.18750000E+01	6.43250000E+01	4.98000000E+01	-1.17078959E+01	1.48603208E-14
10184	Li	8	5.18750000E+01	6.22500000E+01	5.18750000E+01	-1.14376042E+01	-7.70012473E-14
10185	Li	5	4.98000000E+01	6.22500000E+01	5.81000000E+01	-1.16269058E+01	7.07227009E-14
10187	Li	5	4.98000000E+01	6.22500000E+01	6.22500000E+01	-1.16846203E+01	7.07227009E-14
10188	Li	5	4.98000000E+01	6.22500000E+01	6.64000000E+01	-1.16843339E+01	7.07227009E-14
10190	Li	7	5.18750000E+01	6.43250000E+01	6.64000000E+01	-1.15643972E+01	1.48725318E-14
10191	Li	6	4.98000000E+01	6.43250000E+01	7.26250000E+01	-1.12550443E+01	-5.27743818E-14
10192	Li	7	5.18750000E+01	6.43250000E+01	7.05500000E+01	-1.15072197E+01	1.48725318E-14
10193	Li	5	4.98000000E+01	6.22500000E+01	7.47000000E+01	-1.17131553E+01	7.07227009E-14
10194	Li	7	5.18750000E+01	6.43250000E+01	7.47000000E+01	-1.15645762E+01	1.48725318E-14
10196	Li	8	5.18750000E+01	6.22500000E+01	8.09250000E+01	-1.14658528E+01	-7.70034728E-14
10197	Li	5	4.98000000E+01	6.64000000E+01	0.00000000E+00	-1.16556914E+01	-4.69326131E-15
10199	Li	6	4.98000000E+01	6.84750000E+01	6.22500000E+00	-1.12837942E+01	7.00285658E-14
10202	Li	5	4.98000000E+01	6.64000000E+01	1.24500000E+01	-1.17699390E+01	-4.69326131E-15
10203	Li	6	4.98000000E+01	6.84750000E+01	1.45250000E+01	-1.12840806E+01	7.00285658E-14
10204	Li	7	5.18750000E+01	6.84750000E+01	1.24500000E+01	-1.15644330E+01	-7.16390460E-15
10205	Li	6	4.98000000E+01	6.84750000E+01	1.86750000E+01	-1.15413615E+01	7.00285658E-14
10209	Li	8	5.18750000E+01	6.64000000E+01	2.28250000E+01	-1.14372819E+01	-9.85651638E-15
10210	Li	5	4.98000000E+01	6.64000000E+01	2.90500000E+01	-1.15695492E+01	-4.69326131E-15
10212	Li	7	5.18750000E+01	6.84750000E+01	2.90500000E+01	-1.15072555E+01	-7.16390460E-15
10213	Li	8	5.18750000E+01	6.64000000E+01	3.11250000E+01	-1.14372461E+01	-9.85651638E-15
10214	Li	6	4.98000000E+01	6.84750000E+01	3.94250000E+01	-1.15416479E+01	7.00285658E-14
10215	Li	8	5.18750000E+01	6.64000000E+01	4.35750000E+01	-1.14084247E+01	-9.85651638E-15
10216	Li	6	4.98000000E+01	6.84750000E+01	5.18750000E+01	-1.12838658E+01	7.00285658E-14
10217	Li	7	5.18750000E+01	6.84750000E+01	4.98000000E+01	-1.17366457E+01	-7.16390460E-15
10219	Li	5	4.98000000E+01	6.64000000E+01	5.39500000E+01	-1.17699748E+01	-4.69326131E-15
10220	Li	8	5.18750000E+01	6.64000000E+01	5.60250000E+01	-1.14659602E+01	-9.85651638E-15
10221	Li	5	4.98000000E+01	6.64000000E+01	5.81000000E+01	-1.15693702E+01	-4.72399236E-15
10222	Li	6	4.98000000E+01	6.84750000E+01	6.01750000E+01	-1.14558279E+01	7.00529878E-14
10223	Li	7	5.18750000E+01	6.84750000E+01	5.81000000E+01	-1.15070765E+01	-7.13948257E-15
10224	Li	8	5.18750000E+01	6.64000000E+01	6.01750000E+01	-1.13515336E+01	-9.88724743E-15
10225	Li	6	4.98000000E+01	6.84750000E+01	6.43250000E+01	-1.13981850E+01	7.00529878E-14
10226	Li	8	5.18750000E+01	6.64000000E+01	6.43250000E+01	-1.14371029E+01	-9.88724743E-15
10228	Li	6	4.98000000E+01	6.84750000E+01	6.84750000E+01	-1.14845062E+01	7.00529878E-14
10230	Li	7	5.18750000E+01	6.84750000E+01	7.05500000E+01	-1.15359695E+01	-7.13948257E-15
10231	Li	5	4.98000000E+01	6.64000000E+01	7.47000000E+01	-1.15983349E+01	-4.72399236E-15
10232	Li	6	4.98000000E+01	6.84750000E+01	7.67750000E+01	-1.14269707E+01	7.00529878E-14
10234	Li	7	5.18750000E+01	6.84750000E+01	7.88500000E+01	-1.13358304E+01	-7.13948257E-15
10235	Li	8	5.18750000E+01	6.64000000E+01	8.09250000E+01	-1.14083173E+01	-9.88724743E-15
10236	Li	5	4.98000000E+01	7.05500000E+01	0.00000000E+00	-1.16275502E+01	-5.84762262E-14
10237	Li	8	5.18750000E+01	7.05500000E+01	2.07500000E+00	-1.14375684E+01	2.50178960E-14
10239	Li	8	5.18750000E+01	7.05500000E+01	6.22500000E+00	-1.15237106E+01	2.50178960E-14
10241	Li	7	5.18750000E+01	7.26250000E+01	8.30000000E+00	-1.13351143E+01	6.08548568E-14
10243	Li	6	4.98000000E+01	7.26250000E+01	1.45250000E+01	-1.12836510E+01	-2.80885327E-14
10244	Li	6	4.98000000E+01	7.26250000E+01	1.86750000E+01	-1.13117922E+01	-2.80885327E-14
10246	Li	8	5.18750000E+01	7.05500000E+01	2.28250000E+01	-1.14950681E+01	2.50178960E-14
10247	Li	5	4.98000000E+01	7.05500000E+01	2.49000000E+01	-1.14843737E+01	-5.84762262E-14
10248	Li	8	5.18750000E+01	7.05500000E+01	2.69750000E+01	-1.16097453E+01	2.50178960E-14
