central_point_id	element	refnumber	x	y	z	intensity_real	intensity_imag
5	Fe	6	7.62342632E-16	2.07500000E+00	1.03750000E+01	1.58660076E-01	0.00000000E+00
6	Fe	8	2.07500000E+00	6.35285527E-16	1.03750000E+01	4.42708119E+00	0.00000000E+00
10	Fe	7	2.07500000E+00	2.07500000E+00	1.66000000E+01	3.07007843E+00	0.00000000E+00
14	Fe	8	2.07500000E+00	1.65174237E-15	2.69750000E+01	3.55125224E+00	0.00000000E+00
16	Fe	7	2.07500000E+00	2.07500000E+00	2.90500000E+01	-1.22609316E+00	0.00000000E+00
18	Fe	7	2.07500000E+00	2.07500000E+00	3.32000000E+01	-3.78744913E-01	0.00000000E+00
24	Fe	8	2.07500000E+00	2.66819921E-15	4.35750000E+01	-3.05691757E-01	0.00000000E+00
29	Fe	8	2.07500000E+00	3.17642764E-15	5.18750000E+01	-8.19933669E-01	0.00000000E+00
33	Fe	7	2.07500000E+00	2.07500000E+00	5.81000000E+01	-3.02957823E+00	0.00000000E+00
38	Fe	6	4.57405579E-15	2.07500000E+00	7.26250000E+01	6.54907182E-01	0.00000000E+00
39	Fe	7	2.07500000E+00	2.07500000E+00	7.05500000E+01	2.38194364E+00	0.00000000E+00
42	Fe	7	2.07500000E+00	2.07500000E+00	7.88500000E+01	1.82299358E+00	0.00000000E+00
47	Fe	6	1.01645684E-15	6.22500000E+00	1.03750000E+01	-1.50910546E+00	0.00000000E+00
55	Fe	7	2.07500000E+00	6.22500000E+00	2.07500000E+01	2.09595871E+00	0.00000000E+00
59	Fe	6	2.28702790E-15	6.22500000E+00	3.11250000E+01	-3.77490473E+00	0.00000000E+00
61	Fe	6	2.54114211E-15	6.22500000E+00	3.52750000E+01	4.21166970E+00	0.00000000E+00
70	Fe	7	2.07500000E+00	6.22500000E+00	4.56500000E+01	-1.98561076E+00	0.00000000E+00
76	Fe	8	2.07500000E+00	4.15000000E+00	6.01750000E+01	8.44722823E-01	0.00000000E+00
78	Fe	8	2.07500000E+00	4.15000000E+00	6.43250000E+01	-1.26023765E+00	0.00000000E+00
79	Fe	6	4.57405579E-15	6.22500000E+00	6.84750000E+01	3.14679675E-01	0.00000000E+00
80	Fe	8	2.07500000E+00	4.15000000E+00	6.84750000E+01	1.90592750E+00	0.00000000E+00
83	Fe	7	2.07500000E+00	6.22500000E+00	7.47000000E+01	7.78485849E-01	0.00000000E+00
90	Fe	7	2.07500000E+00	1.03750000E+01	8.30000000E+00	3.41598843E-01	0.00000000E+00
93	Fe	8	2.07500000E+00	8.30000000E+00	1.45250000E+01	-4.44100373E-01	0.00000000E+00
94	Fe	8	2.07500000E+00	8.30000000E+00	2.69750000E+01	7.30647444E-01	0.00000000E+00
98	Fe	8	2.07500000E+00	8.30000000E+00	3.52750000E+01	1.83626719E+00	0.00000000E+00
112	Fe	6	4.57405579E-15	1.03750000E+01	6.43250000E+01	9.89493197E-01	0.00000000E+00
