central_point_id	element	refnumber	x	y	z	intensity_real	intensity_imag
5613	Li	7	3.11250000E+01	6.22500000E+00	1.66000000E+01	5.32893396E+00	6.14873734E-16
5618	Li	8	3.11250000E+01	4.15000000E+00	2.28250000E+01	-1.23018930E+01	1.15857811E-15
5619	Li	5	2.90500000E+01	4.15000000E+00	2.49000000E+01	-1.29647563E+01	-2.63207604E-16
5620	Li	6	2.90500000E+01	6.22500000E+00	2.69750000E+01	-8.34842500E+00	-1.12559982E-15
5622	Li	5	2.90500000E+01	4.15000000E+00	2.90500000E+01	-3.74756866E+00	-2.63207604E-16
5623	Li	8	3.11250000E+01	4.15000000E+00	3.11250000E+01	-1.37419204E+01	1.15857811E-15
5625	Li	6	2.90500000E+01	6.22500000E+00	3.52750000E+01	-1.00296264E+01	-1.12559982E-15
5627	Li	8	3.11250000E+01	4.15000000E+00	3.52750000E+01	-5.65791618E+00	1.15857811E-15
5628	Li	6	2.90500000E+01	6.22500000E+00	3.94250000E+01	-9.96826844E+00	-1.12559982E-15
5629	Li	5	2.90500000E+01	4.15000000E+00	4.56500000E+01	-8.50583993E+00	-2.63207604E-16
5632	Li	8	3.11250000E+01	4.15000000E+00	5.18750000E+01	-6.92007915E+00	1.15857811E-15
5633	Li	5	2.90500000E+01	4.15000000E+00	5.39500000E+01	-1.36701107E+01	-2.63207604E-16
5634	Li	7	3.11250000E+01	6.22500000E+00	5.39500000E+01	-4.69407979E+00	6.14873734E-16
5635	Li	5	2.90500000E+01	4.15000000E+00	5.81000000E+01	-4.10526475E+00	-2.63207604E-16
5637	Li	7	3.11250000E+01	6.22500000E+00	5.81000000E+01	-1.13847148E+01	6.14873734E-16
5642	Li	5	2.90500000E+01	4.15000000E+00	7.05500000E+01	-8.38863249E+00	-2.63207604E-16
5643	Li	6	2.90500000E+01	6.22500000E+00	7.26250000E+01	-2.23600908E+00	-1.12559982E-15
5646	Li	6	2.90500000E+01	6.22500000E+00	7.67750000E+01	-9.55917445E+00	-1.12559982E-15
5649	Li	7	3.11250000E+01	6.22500000E+00	7.88500000E+01	-5.66113540E+00	6.14873734E-16
5652	Li	7	3.11250000E+01	1.03750000E+01	0.00000000E+00	-2.23588162E+00	7.41603780E-17
5653	Li	6	2.90500000E+01	1.03750000E+01	6.22500000E+00	-9.54025988E+00	-2.66046021E-16
5655	Li	7	3.11250000E+01	1.03750000E+01	8.30000000E+00	-1.96755432E+00	7.41603780E-17
5656	Li	8	3.11250000E+01	8.30000000E+00	1.03750000E+01	-9.29787409E+00	-1.40182101E-16
5657	Li	6	2.90500000E+01	1.03750000E+01	1.45250000E+01	-1.08028983E+00	-2.66046021E-16
5659	Li	8	3.11250000E+01	8.30000000E+00	1.45250000E+01	-1.01018606E+01	-1.40182101E-16
5660	Li	6	2.90500000E+01	1.03750000E+01	1.86750000E+01	-2.76732353E+00	-2.66046021E-16
5661	Li	8	3.11250000E+01	8.30000000E+00	1.86750000E+01	-9.55182017E+00	-1.40182101E-16
5663	Li	8	3.11250000E+01	8.30000000E+00	2.28250000E+01	-3.48857621E+00	-1.40182101E-16
5665	Li	6	2.90500000E+01	1.03750000E+01	3.11250000E+01	-2.63915934E+00	-2.66046021E-16
5666	Li	5	2.90500000E+01	8.30000000E+00	3.32000000E+01	-1.07703024E+01	-4.04195649E-17
5667	Li	6	2.90500000E+01	1.03750000E+01	3.52750000E+01	-9.25603659E+00	-2.66046021E-16
5670	Li	6	2.90500000E+01	1.03750000E+01	4.35750000E+01	-5.70824585E+00	-2.66046021E-16
5671	Li	8	3.11250000E+01	8.30000000E+00	4.35750000E+01	-1.24741250E+01	-1.40182101E-16
5674	Li	5	2.90500000E+01	8.30000000E+00	4.98000000E+01	-3.51532433E+00	-4.04195649E-17
5675	Li	8	3.11250000E+01	8.30000000E+00	5.18750000E+01	-2.12416896E+00	-1.40182101E-16
5676	Li	7	3.11250000E+01	1.03750000E+01	5.39500000E+01	-9.63024586E+00	7.41603780E-17
5677	Li	6	2.90500000E+01	1.03750000E+01	6.01750000E+01	1.18870594E+00	-2.66046021E-16
5679	Li	6	2.90500000E+01	1.03750000E+01	6.84750000E+01	-5.62447525E+00	-2.66046021E-16
5680	Li	7	3.11250000E+01	1.03750000E+01	6.64000000E+01	-6.17238614E+00	7.41603780E-17
5681	Li	8	3.11250000E+01	8.30000000E+00	6.84750000E+01	-3.71998682E+00	-1.40182101E-16
5682	Li	8	3.11250000E+01	8.30000000E+00	7.26250000E+01	-7.22051967E+00	-1.40182101E-16
5683	Li	5	2.90500000E+01	8.30000000E+00	7.47000000E+01	-1.21365710E+01	-4.04195649E-17
5684	Li	5	2.90500000E+01	8.30000000E+00	7.88500000E+01	-7.86435982E+00	-4.04195649E-17
5686	Li	7	3.11250000E+01	1.03750000E+01	7.88500000E+01	-1.41839425E+00	7.41603780E-17
5687	Li	8	3.11250000E+01	8.30000000E+00	8.09250000E+01	2.82666279E+00	-1.40182101E-16
5689	Li	6	2.90500000E+01	1.45250000E+01	2.07500000E+00	-9.21923978E+00	-3.81750745E-16
5690	Li	7	3.11250000E+01	1.45250000E+01	0.00000000E+00	-4.26930768E-01	-5.17376624E-16
5692	Li	5	2.90500000E+01	1.24500000E+01	4.15000000E+00	-1.11163370E+01	-4.63546335E-17
5693	Li	7	3.11250000E+01	1.45250000E+01	4.15000000E+00	-6.05182711E+00	-5.17376624E-16
5694	Li	5	2.90500000E+01	1.24500000E+01	8.30000000E+00	-3.47027387E+00	-4.63546335E-17
5695	Li	6	2.90500000E+01	1.45250000E+01	1.03750000E+01	1.96938391E-01	-3.81750745E-16
5696	Li	7	3.11250000E+01	1.45250000E+01	8.30000000E+00	-1.33093981E+01	-5.17376624E-16
5697	Li	5	2.90500000E+01	1.24500000E+01	1.24500000E+01	-9.88618278E+00	-4.63546335E-17
5698	Li	6	2.90500000E+01	1.45250000E+01	1.45250000E+01	4.10304867E+00	-3.81750745E-16
5701	Li	5	2.90500000E+01	1.24500000E+01	2.07500000E+01	-1.31662135E+01	-4.63546335E-17
5702	Li	7	3.11250000E+01	1.45250000E+01	2.07500000E+01	-9.48731850E-01	-5.17376624E-16
5703	Li	8	3.11250000E+01	1.24500000E+01	2.69750000E+01	-7.63529775E+00	6.49915565E-16
5705	Li	6	2.90500000E+01	1.45250000E+01	3.11250000E+01	-6.43540718E+00	-3.81750745E-16
5706	Li	8	3.11250000E+01	1.24500000E+01	3.11250000E+01	-3.73512573E+00	6.49915565E-16
5707	Li	7	3.11250000E+01	1.45250000E+01	3.32000000E+01	-5.69555948E+00	-5.17376624E-16
5709	Li	5	2.90500000E+01	1.24500000E+01	4.56500000E+01	-4.46505536E+00	-4.63546335E-17
5710	Li	6	2.90500000E+01	1.45250000E+01	4.77250000E+01	1.89578483E+00	-3.81750745E-16
5711	Li	7	3.11250000E+01	1.45250000E+01	4.56500000E+01	-1.21322659E+01	-5.17376624E-16
5714	Li	5	2.90500000E+01	1.24500000E+01	5.39500000E+01	5.81620051E+00	-4.63546335E-17
5715	Li	5	2.90500000E+01	1.24500000E+01	5.81000000E+01	-1.88729069E+01	-4.63546335E-17
5716	Li	6	2.90500000E+01	1.45250000E+01	6.01750000E+01	3.42022919E+00	-3.81750745E-16
5717	Li	8	3.11250000E+01	1.24500000E+01	6.01750000E+01	-3.55212662E+00	6.49915565E-16
5718	Li	8	3.11250000E+01	1.24500000E+01	6.43250000E+01	-4.33078329E+00	6.49915565E-16
5719	Li	5	2.90500000E+01	1.24500000E+01	6.64000000E+01	-7.44174346E+00	-4.63546335E-17
5720	Li	6	2.90500000E+01	1.45250000E+01	6.84750000E+01	-1.69713798E+01	-3.81750745E-16
5723	Li	7	3.11250000E+01	1.45250000E+01	7.05500000E+01	1.14622599E+00	-5.17376624E-16
5724	Li	8	3.11250000E+01	1.24500000E+01	7.26250000E+01	-3.88921542E+00	6.49915565E-16
