central_point_id	element	refnumber	x	y	z	intensity_real	intensity_imag
5	Fe	6	7.62342632E-16	2.07500000E+00	1.03750000E+01	8.36295088E+00	4.75238902E-16
6	Fe	8	2.07500000E+00	6.35285527E-16	1.03750000E+01	1.43818292E+01	5.55426617E-16
10	Fe	7	2.07500000E+00	2.07500000E+00	1.66000000E+01	7.24276982E+00	4.90833452E-20
14	Fe	8	2.07500000E+00	1.65174237E-15	2.69750000E+01	-4.76938037E+00	5.55426617E-16
16	Fe	7	2.07500000E+00	2.07500000E+00	2.90500000E+01	6.88278745E+00	4.90833452E-20
18	Fe	7	2.07500000E+00	2.07500000E+00	3.32000000E+01	3.26195661E+00	4.90833452E-20
24	Fe	8	2.07500000E+00	2.66819921E-15	4.35750000E+01	6.63336524E+00	5.55426617E-16
29	Fe	8	2.07500000E+00	3.17642764E-15	5.18750000E+01	5.25838724E+00	5.55426617E-16
33	Fe	7	2.07500000E+00	2.07500000E+00	5.81000000E+01	1.09640980E+01	4.90833452E-20
38	Fe	6	4.57405579E-15	2.07500000E+00	7.26250000E+01	1.04586795E+01	4.75238902E-16
39	Fe	7	2.07500000E+00	2.07500000E+00	7.05500000E+01	1.03201065E+01	4.90833452E-20
42	Fe	7	2.07500000E+00	2.07500000E+00	7.88500000E+01	1.59915326E+01	4.90833452E-20
47	Fe	6	1.01645684E-15	6.22500000E+00	1.03750000E+01	1.69813032E+01	-5.37076289E-16
55	Fe	7	2.07500000E+00	6.22500000E+00	2.07500000E+01	9.77864545E+00	-1.85934554E-17
59	Fe	6	2.28702790E-15	6.22500000E+00	3.11250000E+01	-8.45722641E-01	-5.37076289E-16
61	Fe	6	2.54114211E-15	6.22500000E+00	3.52750000E+01	1.25077148E+01	-5.37076289E-16
70	Fe	7	2.07500000E+00	6.22500000E+00	4.56500000E+01	4.10656782E-01	-1.85934554E-17
76	Fe	8	2.07500000E+00	4.15000000E+00	6.01750000E+01	1.33420171E+01	2.56667664E-16
78	Fe	8	2.07500000E+00	4.15000000E+00	6.43250000E+01	1.25588949E+01	2.56667664E-16
79	Fe	6	4.57405579E-15	6.22500000E+00	6.84750000E+01	6.86135942E+00	-5.37076289E-16
80	Fe	8	2.07500000E+00	4.15000000E+00	6.84750000E+01	1.29203280E+01	2.56667664E-16
83	Fe	7	2.07500000E+00	6.22500000E+00	7.47000000E+01	1.23824966E+01	-1.85934554E-17
90	Fe	7	2.07500000E+00	1.03750000E+01	8.30000000E+00	-2.71073825E+00	1.36090731E-15
93	Fe	8	2.07500000E+00	8.30000000E+00	1.45250000E+01	4.91733807E+00	-1.49510721E-15
94	Fe	8	2.07500000E+00	8.30000000E+00	2.69750000E+01	1.18353985E+01	-1.49510721E-15
98	Fe	8	2.07500000E+00	8.30000000E+00	3.52750000E+01	1.67042781E+00	-1.49510721E-15
112	Fe	6	4.57405579E-15	1.03750000E+01	6.43250000E+01	6.23271084E+00	-6.79230018E-16
113	Fe	7	2.07500000E+00	1.03750000E+01	6.22500000E+01	6.79057725E+00	1.36090731E-15
116	Fe	7	2.07500000E+00	1.03750000E+01	6.64000000E+01	9.99186734E+00	1.36090731E-15
119	Fe	7	2.07500000E+00	1.03750000E+01	7.05500000E+01	6.96045011E+00	1.36090731E-15
122	Fe	7	2.07500000E+00	1.03750000E+01	7.47000000E+01	1.17816221E+00	1.36090731E-15
124	Fe	7	2.07500000E+00	1.03750000E+01	7.88500000E+01	8.54294511E+00	1.36090731E-15
140	Fe	6	3.04937053E-15	1.45250000E+01	3.52750000E+01	9.23138911E+00	-1.18478469E-15
142	Fe	5	3.04937053E-15	1.24500000E+01	3.73500000E+01	-8.14093352E-01	4.49482433E-16
146	Fe	5	3.30348474E-15	1.24500000E+01	4.15000000E+01	6.04446320E+00	4.49482433E-16
149	Fe	5	3.55759895E-15	1.24500000E+01	4.56500000E+01	5.73498368E+00	4.49482433E-16
150	Fe	6	3.81171316E-15	1.45250000E+01	4.77250000E+01	1.99395686E+00	-1.18478469E-15
151	Fe	5	3.81171316E-15	1.24500000E+01	4.98000000E+01	7.36248960E+00	4.49482433E-16
155	Fe	8	2.07500000E+00	1.24500000E+01	6.01750000E+01	5.14448629E+00	-1.80755094E-16
158	Fe	5	4.82817001E-15	1.24500000E+01	6.64000000E+01	-2.78174831E+00	4.49482433E-16
160	Fe	5	5.08228422E-15	1.24500000E+01	7.05500000E+01	1.10438202E+01	4.49482433E-16
162	Fe	8	2.07500000E+00	1.24500000E+01	7.26250000E+01	-2.27316101E+00	-1.80755094E-16
163	Fe	5	5.33639843E-15	1.24500000E+01	7.47000000E+01	-2.16032274E+00	4.49482433E-16
167	Fe	6	5.84462685E-15	1.45250000E+01	8.09250000E+01	4.20291963E+00	-1.18478469E-15
171	Fe	5	1.27057105E-15	1.66000000E+01	4.15000000E+00	-3.57213215E+00	1.18878289E-15
172	Fe	6	1.52468526E-15	1.86750000E+01	6.22500000E+00	1.20662389E+01	-4.22243585E-16
178	Fe	6	2.28702790E-15	1.86750000E+01	1.86750000E+01	3.98685407E+00	-4.22243585E-16
180	Fe	8	2.07500000E+00	1.66000000E+01	1.86750000E+01	1.02686514E+01	-7.50104536E-16
183	Fe	5	2.54114211E-15	1.66000000E+01	2.49000000E+01	2.63796458E+00	1.18878289E-15
188	Fe	7	2.07500000E+00	1.86750000E+01	3.32000000E+01	7.49973090E+00	4.37309239E-16
189	Fe	5	3.30348474E-15	1.66000000E+01	3.73500000E+01	-7.25070328E-01	1.18878289E-15
190	Fe	6	3.55759895E-15	1.86750000E+01	3.94250000E+01	2.90467007E+00	-4.22243585E-16
194	Fe	8	2.07500000E+00	1.66000000E+01	4.35750000E+01	1.79415078E+01	-7.50104536E-16
199	Fe	7	2.07500000E+00	1.86750000E+01	5.81000000E+01	8.57677506E+00	4.37309239E-16
200	Fe	8	2.07500000E+00	1.66000000E+01	6.01750000E+01	2.35977555E+00	-7.50104536E-16
208	Fe	5	5.84462685E-15	1.66000000E+01	7.88500000E+01	-5.98965865E+00	1.18878289E-15
212	Fe	8	2.07500000E+00	2.07500000E+01	2.07500000E+00	7.70209038E+00	-5.66461464E-16
214	Fe	7	2.07500000E+00	2.28250000E+01	4.15000000E+00	8.50543261E+00	1.22387235E-16
215	Fe	8	2.07500000E+00	2.07500000E+01	6.22500000E+00	1.44938873E+01	-5.66461464E-16
216	Fe	8	2.07500000E+00	2.07500000E+01	1.03750000E+01	7.12065135E+00	-5.66461464E-16
217	Fe	6	2.28702790E-15	2.28250000E+01	1.45250000E+01	2.30484738E+00	6.39855973E-16
221	Fe	6	2.54114211E-15	2.28250000E+01	1.86750000E+01	-6.05914428E+00	6.39855973E-16
224	Fe	5	2.79525632E-15	2.07500000E+01	2.49000000E+01	1.13285060E+01	1.20206961E-16
225	Fe	6	3.04937053E-15	2.28250000E+01	2.69750000E+01	1.56528114E+00	6.39855973E-16
229	Fe	7	2.07500000E+00	2.28250000E+01	3.32000000E+01	4.37039309E+00	1.22387235E-16
231	Fe	5	3.81171316E-15	2.07500000E+01	4.15000000E+01	8.42260035E+00	1.20206961E-16
233	Fe	7	2.07500000E+00	2.28250000E+01	4.15000000E+01	1.21449078E+01	1.22387235E-16
239	Fe	8	2.07500000E+00	2.07500000E+01	5.60250000E+01	9.48818254E+00	-5.66461464E-16
242	Fe	5	5.08228422E-15	2.07500000E+01	6.22500000E+01	1.06574005E+01	1.20206961E-16
243	Fe	6	5.33639843E-15	2.28250000E+01	6.43250000E+01	4.15997978E+00	6.39855973E-16
249	Fe	6	6.35285527E-15	2.28250000E+01	8.09250000E+01	-2.02170604E+00	6.39855973E-16
257	Fe	7	2.07500000E+00	2.69750000E+01	1.24500000E+01	1.22539793E+01	7.62387375E-17
260	Fe	7	2.07500000E+00	2.69750000E+01	2.07500000E+01	1.95366377E+01	7.62387375E-17
266	Fe	6	3.55759895E-15	2.69750000E+01	3.11250000E+01	1.81436084E+00	4.56520987E-16
267	Fe	7	2.07500000E+00	2.69750000E+01	2.90500000E+01	6.54069312E+00	7.62387375E-17
271	Fe	6	4.06582737E-15	2.69750000E+01	3.94250000E+01	8.66679209E+00	4.56520987E-16
272	Fe	7	2.07500000E+00	2.69750000E+01	3.73500000E+01	1.51121497E+01	7.62387375E-17
275	Fe	8	2.07500000E+00	2.49000000E+01	4.35750000E+01	5.93506534E+00	5.70909912E-16
276	Fe	5	4.31994158E-15	2.49000000E+01	4.56500000E+01	6.30453785E+00	-1.60876765E-15
277	Fe	6	4.57405579E-15	2.69750000E+01	4.77250000E+01	1.15464953E+01	4.56520987E-16
281	Fe	7	2.07500000E+00	2.69750000E+01	5.81000000E+01	4.74458293E+00	7.62387375E-17
