central_point_id	element	refnumber	x	y	z	intensity_real	intensity_imag
10983	Fe	6	5.39500000E+01	6.43250000E+01	4.77250000E+01	5.90885686E+00	9.02779192E-15
10986	Fe	7	5.60250000E+01	6.43250000E+01	4.98000000E+01	1.43804501E+01	-1.18549361E-14
10990	Fe	8	5.60250000E+01	6.22500000E+01	5.60250000E+01	4.95825833E+00	1.70228506E-15
10991	Fe	5	5.39500000E+01	6.22500000E+01	5.81000000E+01	1.44573469E+01	-8.59588898E-16
10998	Fe	8	5.60250000E+01	6.22500000E+01	7.26250000E+01	2.84393578E-01	1.70228506E-15
10999	Fe	5	5.39500000E+01	6.22500000E+01	7.47000000E+01	1.91337017E+01	-8.59588898E-16
11003	Fe	7	5.60250000E+01	6.43250000E+01	7.88500000E+01	3.52603152E+00	-1.18549361E-14
11004	Fe	8	5.60250000E+01	6.22500000E+01	8.09250000E+01	8.05415666E+00	1.70228506E-15
11006	Fe	6	5.39500000E+01	6.84750000E+01	2.07500000E+00	8.32736823E+00	2.13278552E-15
11009	Fe	6	5.39500000E+01	6.84750000E+01	6.22500000E+00	4.92880685E+00	2.13278552E-15
11010	Fe	5	5.39500000E+01	6.64000000E+01	8.30000000E+00	5.03569259E+00	-6.64561684E-15
11016	Fe	7	5.60250000E+01	6.84750000E+01	2.07500000E+01	8.55460999E+00	1.64508731E-15
11021	Fe	8	5.60250000E+01	6.64000000E+01	3.11250000E+01	9.07082027E+00	4.95625705E-15
11022	Fe	5	5.39500000E+01	6.64000000E+01	3.32000000E+01	4.54698304E+00	-6.64561684E-15
11024	Fe	7	5.60250000E+01	6.84750000E+01	3.32000000E+01	1.59794029E+01	1.64508731E-15
11029	Fe	8	5.60250000E+01	6.64000000E+01	4.35750000E+01	4.66661024E+00	4.95625705E-15
11030	Fe	5	5.39500000E+01	6.64000000E+01	4.56500000E+01	1.62752182E+01	-6.64561684E-15
11031	Fe	6	5.39500000E+01	6.84750000E+01	4.77250000E+01	9.45303400E+00	2.13278552E-15
11035	Fe	8	5.60250000E+01	6.64000000E+01	5.18750000E+01	1.11824428E+00	4.95625705E-15
11038	Fe	7	5.60250000E+01	6.84750000E+01	5.81000000E+01	5.40655005E+00	1.64508731E-15
11048	Fe	5	5.39500000E+01	6.64000000E+01	7.88500000E+01	8.71570981E+00	-6.64561684E-15
11054	Fe	8	5.60250000E+01	7.05500000E+01	6.22500000E+00	3.68097226E+00	-2.60311845E-15
11056	Fe	7	5.60250000E+01	7.26250000E+01	1.24500000E+01	3.85871932E+00	9.04557730E-16
11058	Fe	6	5.39500000E+01	7.26250000E+01	1.86750000E+01	7.69015047E+00	-1.35801051E-14
11061	Fe	6	5.39500000E+01	7.26250000E+01	2.28250000E+01	9.26037875E+00	-1.35801051E-14
11066	Fe	6	5.39500000E+01	7.26250000E+01	3.52750000E+01	2.96273620E+00	-1.35801051E-14
11070	Fe	8	5.60250000E+01	7.05500000E+01	3.94250000E+01	4.88855204E+00	-2.60311845E-15
11072	Fe	8	5.60250000E+01	7.05500000E+01	4.35750000E+01	1.11015831E+01	-2.60311845E-15
11075	Fe	6	5.39500000E+01	7.26250000E+01	5.60250000E+01	1.18638721E+01	-1.35801051E-14
11078	Fe	6	5.39500000E+01	7.26250000E+01	6.01750000E+01	1.09080849E+01	-1.35801051E-14
11080	Fe	7	5.60250000E+01	7.26250000E+01	6.22500000E+01	7.11317222E+00	9.04557730E-16
11081	Fe	8	5.60250000E+01	7.05500000E+01	6.43250000E+01	-4.31662123E+00	-2.60311845E-15
11089	Fe	7	5.60250000E+01	7.67750000E+01	0.00000000E+00	-1.62861482E+00	-1.19493031E-14
11098	Fe	7	5.60250000E+01	7.67750000E+01	2.90500000E+01	-3.15290094E+00	-1.19493031E-14
11101	Fe	7	5.60250000E+01	7.67750000E+01	3.32000000E+01	2.13700246E+01	-1.19493031E-14
11105	Fe	5	5.39500000E+01	7.47000000E+01	4.56500000E+01	8.81222847E+00	7.55994721E-15
11117	Fe	5	5.39500000E+01	7.47000000E+01	7.05500000E+01	4.82682839E+00	7.55994721E-15
11119	Fe	7	5.60250000E+01	7.67750000E+01	7.05500000E+01	7.75680909E+00	-1.19493031E-14
11122	Fe	7	5.60250000E+01	7.67750000E+01	7.47000000E+01	4.97303395E-02	-1.19493031E-14
11124	Fe	5	5.39500000E+01	7.47000000E+01	7.88500000E+01	1.62623756E+01	7.55994721E-15
11126	Fe	8	5.60250000E+01	7.47000000E+01	8.09250000E+01	7.42921955E-01	7.84663061E-15
11129	Fe	6	5.39500000E+01	8.09250000E+01	6.22500000E+00	1.35365093E+01	2.67875569E-15
11130	Fe	5	5.39500000E+01	7.88500000E+01	8.30000000E+00	9.15747844E+00	-2.48325826E-15
11135	Fe	7	5.60250000E+01	8.09250000E+01	1.24500000E+01	4.55523042E+00	-1.70838967E-15
11136	Fe	8	5.60250000E+01	7.88500000E+01	1.45250000E+01	8.28622854E+00	4.42212735E-15
11137	Fe	5	5.39500000E+01	7.88500000E+01	1.66000000E+01	9.80153336E+00	-2.48325826E-15
11139	Fe	6	5.39500000E+01	8.09250000E+01	2.28250000E+01	9.16201520E+00	2.67875569E-15
11141	Fe	6	5.39500000E+01	8.09250000E+01	2.69750000E+01	-6.14374934E+00	2.67875569E-15
11144	Fe	5	5.39500000E+01	7.88500000E+01	2.90500000E+01	3.90618588E+00	-2.48325826E-15
11148	Fe	5	5.39500000E+01	7.88500000E+01	4.98000000E+01	7.46745033E+00	-2.48325826E-15
11155	Fe	5	5.39500000E+01	7.88500000E+01	6.22500000E+01	1.26274550E+01	-2.48325826E-15
11158	Fe	6	5.39500000E+01	8.09250000E+01	6.84750000E+01	8.62597672E+00	2.67875569E-15
11160	Fe	5	5.39500000E+01	7.88500000E+01	7.05500000E+01	7.48577282E+00	-2.48325826E-15
11162	Fe	8	5.60250000E+01	7.88500000E+01	7.26250000E+01	8.57934357E+00	4.42212735E-15
11168	Fe	5	5.81000000E+01	0.00000000E+00	0.00000000E+00	1.29654158E+01	-9.06927607E-16
11170	Fe	8	6.01750000E+01	1.27057105E-16	2.07500000E+00	2.35606587E-01	6.16489914E-16
11171	Fe	5	5.81000000E+01	2.54114211E-16	4.15000000E+00	7.11770058E+00	-9.06927607E-16
11173	Fe	6	5.81000000E+01	2.07500000E+00	1.03750000E+01	8.65025059E+00	2.00889386E-15
11175	Fe	8	6.01750000E+01	6.35285527E-16	1.03750000E+01	-1.87492831E+00	6.16489914E-16
11178	Fe	7	6.01750000E+01	2.07500000E+00	2.07500000E+01	2.59677153E+00	-1.40283985E-15
11179	Fe	7	6.01750000E+01	2.07500000E+00	2.49000000E+01	-1.88824125E-01	-1.40283985E-15
11183	Fe	7	6.01750000E+01	2.07500000E+00	3.73500000E+01	1.63361273E+01	-1.40283985E-15
