central_point_id	element	refnumber	x	y	z	intensity_real	intensity_imag
0	Li	8	2.07500000E+00	1.27057105E-16	2.07500000E+00	-8.35924136E+00	5.52380533E-16
1	Fe	5	2.54114211E-16	2.54114211E-16	4.15000000E+00	5.40176045E+00	-5.95060747E-16
2	Li	6	5.08228422E-16	2.07500000E+00	6.22500000E+00	-3.04261746E+00	4.73651429E-16
3	Li	8	2.07500000E+00	3.81171316E-16	6.22500000E+00	2.84091562E+00	5.52380533E-16
4	Li	5	5.08228422E-16	5.08228422E-16	8.30000000E+00	-1.26108142E+01	-5.95060747E-16
7	Li	6	1.01645684E-15	2.07500000E+00	1.45250000E+01	-7.44407711E+00	4.73651429E-16
8	Li	7	2.07500000E+00	2.07500000E+00	1.24500000E+01	-6.08638547E+00	8.07434167E-19
9	Li	8	2.07500000E+00	8.89399738E-16	1.45250000E+01	1.12986541E+01	5.52380533E-16
11	Li	7	2.07500000E+00	2.07500000E+00	2.07500000E+01	-5.70523851E+00	8.07434167E-19
12	Li	8	2.07500000E+00	1.39762816E-15	2.28250000E+01	2.37064194E+00	5.52380533E-16
13	Li	6	1.77879948E-15	2.07500000E+00	2.69750000E+01	-6.04375880E+00	4.73651429E-16
15	Li	5	1.77879948E-15	1.77879948E-15	2.90500000E+01	-5.07544160E+00	-5.95060747E-16
17	Li	8	2.07500000E+00	1.90585658E-15	3.11250000E+01	-7.97627261E+00	5.52380533E-16
19	Li	8	2.07500000E+00	2.15997079E-15	3.52750000E+01	-3.94173054E+00	5.52380533E-16
20	Li	6	2.54114211E-15	2.07500000E+00	3.94250000E+01	-1.15818886E+01	4.73651429E-16
21	Li	7	2.07500000E+00	2.07500000E+00	3.73500000E+01	-2.18889913E+00	8.07434167E-19
22	Fe	5	2.54114211E-15	2.54114211E-15	4.15000000E+01	-1.33250218E-01	-5.95060747E-16
23	Li	7	2.07500000E+00	2.07500000E+00	4.15000000E+01	6.53560724E+00	8.07434167E-19
25	Li	5	2.79525632E-15	2.79525632E-15	4.56500000E+01	2.21768963E+00	-5.95060747E-16
26	Li	7	2.07500000E+00	2.07500000E+00	4.56500000E+01	-9.89471462E+00	8.07434167E-19
27	Li	8	2.07500000E+00	2.92231342E-15	4.77250000E+01	1.67976140E-02	5.52380533E-16
